track,location
Albert Park Grand Prix Circuit,Melbourne
Sepang International Circuit,Kuala Lumpur
Bahrain International Circuit,Sakhir
Circuit de Barcelona-Catalunya,Montmel
Istanbul Park,Istanbul
Circuit de Monaco,Monte-Carlo
Circuit Gilles Villeneuve,Montreal
Circuit de Nevers Magny-Cours,Magny Cours
Silverstone Circuit,Silverstone
Hockenheimring,Hockenheim
Hungaroring,Budapest
Valencia Street Circuit,Valencia
Circuit de Spa-Francorchamps,Spa
Autodromo Nazionale di Monza,Monza
Marina Bay Street Circuit,Marina Bay
Fuji Speedway,Oyama
Shanghai International Circuit,Shanghai
Autódromo José Carlos Pace,São Paulo
Indianapolis Motor Speedway,Indianapolis
Nürburgring,Nürburg
Autodromo Enzo e Dino Ferrari,Imola
Suzuka Circuit,Suzuka
Las Vegas Strip Street Circuit,Las Vegas
Yas Marina Circuit,Abu Dhabi
Autódromo Juan y Oscar Gálvez,Buenos Aires
Circuito de Jerez,Jerez de la Frontera
Autódromo do Estoril,Estoril
Okayama International Circuit,Okayama
Adelaide Street Circuit,Adelaide
Kyalami,Midrand
Donington Park,Castle Donington
Autódromo Hermanos Rodríguez,Mexico City
Phoenix street circuit,Phoenix
Circuit Paul Ricard,Le Castellet
Korean International Circuit,Yeongam County
Autódromo Internacional Nelson Piquet,Rio de Janeiro
Detroit Street Circuit,Detroit
Brands Hatch,Kent
Circuit Park Zandvoort,Zandvoort
Zolder,Heusden-Zolder
Dijon-Prenois,Dijon
Fair Park,Dallas
Long Beach,California
Las Vegas Street Circuit,Nevada
Jarama,Madrid
Watkins Glen,New York State
Scandinavian Raceway,Anderstorp
Mosport International Raceway,Ontario
Montjuïc,Barcelona
Nivelles-Baulers,Brussels
Charade Circuit,Clermont-Ferrand
Circuit Mont-Tremblant,Quebec
Rouen-Les-Essarts,Rouen
Le Mans,Le Mans
Reims-Gueux,Reims
Prince George Circuit,Eastern Cape Province
Zeltweg,Styria
Aintree,Liverpool
Circuito da Boavista,Oporto
Riverside International Raceway,California
AVUS,Berlin
Monsanto Park Circuit,Lisbon
Sebring International Raceway,Florida
Ain Diab,Casablanca
Pescara Circuit,Pescara
Circuit Bremgarten,Bern
Circuit de Pedralbes,Barcelona
Buddh International Circuit,Uttar Pradesh
Circuit of the Americas,Austin
Red Bull Ring,Spielberg
Sochi Autodrom,Sochi
Baku City Circuit,Baku
Autódromo Internacional do Algarve,Portimão
Autodromo Internazionale del Mugello,Mugello
Jeddah Corniche Circuit,Jeddah
Losail International Circuit,Al Daayen
Miami International Autodrome,Miami
